,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Goderich,29,CA,1561596474,74,43.74,-81.71,73.99,1.01
1,Tamandare,54,BR,1561596487,69,-8.28,-70.75,76.4,1.23
2,Gunnedah,0,AU,1561596487,63,-30.98,150.25,61.0,6.93
3,Vostok,100,RU,1561596430,99,46.45,135.83,58.4,3.11
4,Semey,0,KZ,1561596488,49,50.41,80.25,67.4,11.7
5,Kavaratti,75,IN,1561596468,77,10.57,72.64,82.88,15.82
6,Vaini,75,IN,1561596345,100,15.34,74.49,69.8,3.36
7,Sao Filipe,0,CV,1561596309,85,14.9,-24.5,74.6,23.91
8,Ushuaia,75,AR,1561596473,79,-54.81,-68.31,28.4,20.8
9,Hithadhoo,64,MV,1561596203,74,-0.6,73.08,83.42,8.84
10,Jamestown,0,AU,1561596352,54,-33.21,138.6,58.4,16.71
11,Kapaa,75,US,1561596024,74,22.08,-159.32,82.4,11.41
12,The Valley,40,AI,1561596314,74,18.22,-63.06,82.4,6.93
13,Campbellton,100,CA,1561596490,96,48.0,-66.68,54.8,2.77
14,Mahibadhoo,100,MV,1561596244,75,3.78,72.97,83.42,7.58
15,Abu Dhabi,0,AE,1561596194,67,24.47,54.37,93.2,3.36
16,Tuktoyaktuk,90,CA,1561596436,80,69.44,-133.03,39.2,16.11
17,Juneau,75,US,1561596328,41,58.3,-134.42,80.6,9.17
18,Rio Gallegos,20,AR,1561596101,92,-51.62,-69.22,26.6,9.17
19,Mahebourg,75,MU,1561596351,94,-20.41,57.7,73.4,10.29
20,Lagoa,0,PT,1561596313,77,37.14,-8.45,64.4,9.17
21,Ayan,0,IR,1561596316,62,38.23,44.7,55.7,2.51
22,Kavieng,89,PG,1561596364,72,-2.57,150.8,84.14,8.25
23,Qaanaaq,7,GL,1561596369,67,77.48,-69.36,36.98,3.87
24,Nouadhibou,2,MR,1561596462,83,20.93,-17.03,69.8,14.99
25,Cidreira,0,BR,1561596401,59,-30.17,-50.22,46.88,2.55
26,Tiksi,17,RU,1561596315,38,71.64,128.87,68.48,10.8
27,Port Elizabeth,1,US,1561596161,69,39.31,-74.98,84.99,6.78
28,Nantucket,1,US,1561596403,93,41.28,-70.1,69.01,4.7
29,Fortuna,40,US,1561596166,59,40.6,-124.16,64.4,9.17
30,Palembang,20,ID,1561596493,100,-2.99,104.76,75.2,3.36
31,Sao Gabriel da Cachoeira,3,BR,1561596493,96,-0.13,-67.09,74.24,1.88
32,LOS ALGARROBOS,90,EC,1561596494,83,-3.25,-79.94,89.6,5.82
33,Auki,53,NG,1561596323,69,12.18,6.51,77.84,12.64
34,Vila Velha,20,BR,1561596252,78,-3.71,-38.6,80.6,8.05
35,Yar-Sale,80,RU,1561596494,74,66.83,70.83,46.34,4.25
36,Golden,1,US,1561596495,13,39.76,-105.22,89.01,8.05
37,Richards Bay,16,ZA,1561596386,70,-28.77,32.06,68.66,20.15
38,Bluff,14,AU,1561596312,65,-23.58,149.07,68.3,24.58
39,Sao Joao da Barra,7,BR,1561596424,85,-21.64,-41.05,70.1,0.76
40,Puerto Ayora,20,EC,1561596332,69,-0.74,-90.35,77.0,18.34
41,Chandur,52,IN,1561596496,64,20.82,77.97,85.04,8.99
42,Hualmay,7,PE,1561596207,84,-11.1,-77.61,62.9,13.13
43,Butaritari,56,KI,1561596332,73,3.07,172.79,83.6,11.32
44,Naze,100,NG,1561596496,98,5.43,7.07,72.26,3.49
45,Xinxiang,99,CN,1561596496,52,35.3,113.88,77.12,1.48
46,Laguna,40,BZ,1561596497,79,16.17,-88.94,84.2,4.7
47,Karasjok,99,NO,1561596351,62,69.47,25.52,51.8,29.97
48,Avarua,49,CK,1561596338,73,-21.21,-159.78,75.2,3.36
49,Bereda,7,ES,1561596497,93,43.27,-7.54,63.0,2.64
50,Harper,1,US,1561596433,58,30.3,-99.24,82.99,14.99
51,Lock Haven,1,US,1561596498,65,41.14,-77.45,81.0,3.36
52,Albany,1,US,1561596498,73,42.65,-73.75,77.0,3.36
53,Castro,75,CL,1561596338,87,-42.48,-73.76,46.4,6.93
54,Deputatskiy,0,RU,1561596499,28,69.3,139.9,72.62,7.76
55,Port-Gentil,86,GA,1561596479,74,-0.72,8.78,76.22,11.79
56,Pechora,90,RU,1561596499,79,65.12,57.16,48.32,4.63
57,Miguel Auza,0,MX,1561596378,21,24.29,-103.45,82.52,16.33
58,Sao Felix do Xingu,86,BR,1561596500,66,-6.64,-51.99,75.32,3.58
59,Wanning,0,AT,1561596346,73,48.64,13.53,75.0,8.05
60,Iquique,90,CL,1561596500,77,-20.22,-70.14,60.8,11.41
61,Pisco,13,PE,1561596356,88,-13.71,-76.2,63.0,4.7
62,Barra Mansa,0,BR,1561596473,78,-22.54,-44.17,77.0,11.41
63,Victoria,75,BN,1561596371,88,5.28,115.24,82.4,2.24
64,Umm Lajj,0,SA,1561596501,62,25.02,37.27,86.48,12.46
65,San Quintin,99,PH,1561596502,85,17.54,120.52,78.38,2.44
66,Ulaangom,36,MN,1561596502,40,49.98,92.07,62.18,1.48
67,ChengDe,100,CN,1561596502,47,40.97,117.93,74.96,5.32
68,Menomonie,1,US,1561596503,23,44.88,-91.92,82.99,3.36
69,Yulara,33,AU,1561596409,37,-25.24,130.99,51.8,6.93
70,Canavieiras,0,BR,1561596337,88,-15.68,-38.95,72.08,3.38
71,Mataura,8,NZ,1561596479,77,-46.19,168.86,54.0,3.0
72,Edd,91,ER,1561596504,50,13.93,41.69,87.38,2.33
73,Shelby,1,US,1561596504,35,48.51,-111.86,75.0,10.29
74,Norman Wells,20,CA,1561596423,38,65.28,-126.83,60.8,10.29
75,Itapetinga,17,BR,1561596504,96,-15.25,-40.25,64.7,2.19
76,Kodiak,1,US,1561596339,58,39.95,-94.76,84.2,8.05
77,Codrington,40,AU,1561596374,93,-28.95,153.24,66.2,5.82
78,Punta Arenas,0,CL,1561596312,74,-53.16,-70.91,28.4,8.05
79,Rikitea,53,PF,1561596317,80,-23.12,-134.97,74.42,10.4
80,Georgetown,40,GY,1561596428,78,6.8,-58.16,80.6,11.41
81,Dryden,1,CA,1561596506,33,49.79,-92.84,77.0,18.34
82,Cape Town,90,ZA,1561596211,93,-33.93,18.42,53.01,6.93
83,Madimba,75,CM,1561596506,100,4.42,9.93,75.2,1.59
84,Saint George,40,GR,1561596361,57,39.45,22.34,79.0,2.26
85,Mechetinskaya,4,RU,1561596506,60,46.77,40.45,64.7,9.6
86,Dingle,100,PH,1561596405,83,11.0,122.67,79.82,8.48
87,Shache,34,CN,1561596507,41,38.42,77.24,69.02,2.51
88,Chota,66,EC,1561596507,99,0.47,-78.07,57.32,1.68
89,Thompson,75,CA,1561596383,72,55.74,-97.86,60.8,6.93
90,Busselton,26,AU,1561596170,47,-33.64,115.35,57.0,31.5
91,Clyde River,1,CA,1561596323,93,70.47,-68.59,37.4,12.75
92,Hermanus,0,ZA,1561596345,94,-34.42,19.24,53.01,7.27
93,Bonthe,99,SL,1561596508,90,7.53,-12.5,77.3,6.76
94,Mount Gambier,14,AU,1561596326,71,-37.83,140.78,55.4,12.75
95,Andahuaylas,53,PE,1561596473,86,-13.66,-73.39,45.62,2.77
96,Viraganur,100,IN,1561596509,81,11.48,78.74,76.04,5.08
97,Carnarvon,0,ZA,1561596315,45,-30.97,22.13,40.04,4.97
98,Conceicao do Araguaia,26,BR,1561596272,57,-8.26,-49.26,74.6,1.95
99,Atuona,0,PF,1561596343,75,-9.8,-139.03,80.54,16.15
100,Uribia,1,CO,1561596510,60,11.71,-72.27,83.06,10.42
101,Russell,1,US,1561596510,41,38.9,-98.86,91.4,18.34
102,Caravelas,44,BR,1561596313,83,-17.73,-39.27,73.88,5.79
103,Sosnovo-Ozerskoye,64,RU,1561596510,86,52.53,111.54,57.32,8.03
104,Erseke,10,AL,1561596511,87,40.34,20.68,57.86,6.17
105,Saint-Philippe,75,CA,1561596356,69,45.36,-73.48,75.2,5.82
106,Lompoc,1,US,1561596188,68,34.64,-120.46,72.0,17.22
107,Hobart,0,AU,1561596054,76,-42.88,147.33,54.0,14.99
108,Tura,100,RU,1561596511,62,64.27,100.22,68.84,2.26
109,Pacific Grove,90,US,1561596512,72,36.62,-121.92,75.0,5.82
110,Kaitangata,0,NZ,1561596372,57,-46.28,169.85,54.0,4.0
111,New Norfolk,0,AU,1561596335,76,-42.78,147.06,54.0,14.99
112,Libenge,48,CD,1561596512,94,3.65,18.64,69.74,0.67
113,Hibbing,1,US,1561596438,39,47.43,-92.94,78.8,6.93
114,Upernavik,0,GL,1561596332,87,72.79,-56.15,34.46,11.25
115,Esperance,40,AU,1561596359,87,-33.86,121.89,55.4,14.99
116,Mogadishu,15,SO,1561596513,86,2.04,45.34,74.06,11.34
117,Cherskiy,52,RU,1561596367,34,68.75,161.3,65.96,11.5
118,Vardo,5,US,1561596514,58,39.62,-77.74,84.2,7.67
119,Kruisfontein,23,ZA,1561596423,87,-34.0,24.73,53.18,4.83
120,Leh,16,IN,1561596514,56,34.16,77.58,27.44,3.76
121,Yellowknife,75,CA,1561596121,82,62.45,-114.38,55.4,13.87
122,Aklavik,75,CA,1561596316,37,68.22,-135.01,53.6,12.75
123,Murgab,0,TM,1561596515,36,37.5,61.97,78.8,4.7
124,Bandarbeyla,84,SO,1561596377,64,9.49,50.81,78.38,27.94
125,Bathsheba,40,BB,1561596380,69,13.22,-59.52,82.4,20.8
126,Maturin,0,VE,1561596515,81,9.75,-63.18,72.08,4.97
127,Khatanga,0,RU,1561596351,40,71.98,102.47,53.0,8.12
128,Katsuura,75,JP,1561596368,100,33.93,134.5,77.0,24.16
129,Roald,99,NO,1561596397,93,62.58,6.12,50.0,4.7
130,Buraydah,0,SA,1561596442,32,26.33,43.97,82.4,3.36
131,Tabou,96,CI,1561596398,94,4.42,-7.36,73.88,4.74
132,Moba,10,CD,1561596517,66,-7.04,29.77,59.84,3.67
133,Maputo,10,MZ,1561596517,81,-25.97,32.57,60.38,2.82
134,Kulhudhuffushi,68,MV,1561596517,78,6.62,73.07,82.88,11.63
135,Bastos,100,BR,1561596517,87,-21.92,-50.73,65.42,0.38
136,Grand-Santi,87,GF,1561596518,98,4.27,-54.38,72.26,2.01
137,Colac,74,AU,1561596518,80,-38.34,143.59,55.99,1.01
138,Aquiraz,20,BR,1561596518,78,-3.9,-38.39,80.6,8.05
139,Tuatapere,95,NZ,1561596349,77,-46.13,167.69,54.0,3.0
140,Nioro,0,GM,1561596519,62,13.79,-15.05,80.0,11.81
141,Baruun-Urt,5,MN,1561596519,56,46.68,113.28,68.66,19.35
142,Pemba,0,MZ,1561596519,72,-12.97,40.52,70.64,16.13
143,Nanortalik,100,GL,1561596296,99,60.14,-45.24,38.06,8.05
144,Salinopolis,91,BR,1561596520,78,-0.61,-47.36,82.52,17.78
145,Dunedin,0,NZ,1561596211,65,-45.87,170.5,50.84,8.23
146,Bahia Honda,0,CU,1561596520,77,22.9,-83.16,84.5,18.34
147,Bocsig,0,RO,1561596521,94,46.42,21.94,70.0,3.36
148,Kondinskoye,72,RU,1561596521,68,59.65,67.41,49.4,8.01
149,Salalah,90,OM,1561596318,94,17.01,54.1,82.4,6.93
150,Chuy,62,UY,1561596314,78,-33.69,-53.46,45.62,7.92
151,Torbay,20,CA,1561596343,81,47.66,-52.73,48.99,3.36
152,Qasigiannguit,0,GL,1561596522,75,68.82,-51.19,42.8,5.82
153,Namibe,100,AO,1561596357,81,-15.19,12.15,65.06,13.65
154,Bull Savanna,100,JM,1561596523,78,17.89,-77.59,84.5,6.15
155,Tautira,75,PF,1561596166,74,-17.73,-149.15,82.4,9.17
156,Waitara,8,NZ,1561596523,80,-39.0,174.24,55.0,7.0
157,Pioner,58,RU,1561596523,74,50.07,45.68,60.92,3.69
158,Ponta do Sol,98,BR,1561596334,55,-20.63,-46.0,68.66,2.62
159,Hilo,40,US,1561596314,62,19.71,-155.08,84.99,13.87
160,Tupiza,0,BO,1561596524,28,-21.44,-65.72,36.8,11.27
161,Ribeira Grande,56,PT,1561596317,75,38.52,-28.7,65.24,16.73
162,Bontang,33,ID,1561596447,84,0.12,117.47,78.74,3.91
163,Maceio,75,BR,1561596247,88,-9.67,-35.74,73.4,2.24
164,Lorengau,82,PG,1561596321,79,-2.02,147.27,83.06,5.73
165,Airai,30,TL,1561596416,58,-8.93,125.41,73.88,3.09
166,Soure,40,PT,1561596525,93,40.06,-8.63,63.0,1.12
167,Novo Aripuana,99,BR,1561596526,85,-5.12,-60.38,76.04,2.46
168,Jimani,93,DO,1561596526,83,18.49,-71.85,73.16,3.58
169,Tasiilaq,100,GL,1561596164,81,65.61,-37.64,44.6,1.12
170,Taoudenni,0,ML,1561596526,7,22.68,-3.98,98.54,11.74
171,Farmington,1,US,1561596386,8,36.73,-108.21,89.01,9.17
172,Husavik,0,CA,1561596387,27,50.56,-96.99,80.01,7.0
173,Bedford,1,US,1561596423,55,32.84,-97.14,90.0,9.17
174,Ouadda,100,CF,1561596527,95,8.07,22.4,67.04,2.46
175,Nikolskoye,0,RU,1561596416,82,59.7,30.79,57.2,2.24
176,Arraial do Cabo,0,BR,1561596350,78,-22.97,-42.02,73.4,4.7
177,Lincoln,1,US,1561596367,65,40.8,-96.67,87.8,4.7
178,Batemans Bay,61,AU,1561596529,73,-35.71,150.18,61.0,1.01
179,Weihe,100,CN,1561596529,87,32.99,105.33,62.72,2.3
180,Makokou,81,GA,1561596529,92,0.56,12.85,67.04,2.84
181,Narsaq,90,GL,1561596529,87,60.91,-46.05,48.2,6.93
182,Merauke,92,ID,1561596530,82,-8.49,140.4,78.2,20.0
183,East London,71,ZA,1561596200,60,-33.02,27.91,57.5,10.85
184,Abu Kamal,0,SY,1561596530,15,34.45,40.92,91.88,10.89
185,Tongliao,2,CN,1561596530,33,43.61,122.27,84.68,4.43
186,Sabha,46,LY,1561596531,25,27.03,14.43,88.1,13.67
187,Longyearbyen,75,NO,1561596352,75,78.22,15.63,41.0,16.11
188,Barra do Bugres,37,BR,1561596531,81,-15.07,-57.19,69.2,2.17
189,Mar del Plata,78,AR,1561596160,73,-46.43,-67.52,38.42,10.47
190,Sept-Iles,90,CA,1561596406,93,50.2,-66.38,55.99,9.17
191,Osypenko,0,UA,1561596532,67,48.04,34.39,62.6,3.83
192,Bindura,85,ZW,1561596532,91,-17.3,31.33,51.38,0.74
193,Meadow Lake,75,CA,1561596344,63,54.13,-108.44,66.2,11.41
194,Labuhan,24,ID,1561596317,77,-2.54,115.51,77.12,0.85
195,Ossora,97,RU,1561596533,55,59.24,163.07,55.88,6.02
196,Chicomuselo,94,MX,1561596307,77,15.77,-92.27,78.56,2.48
197,Srednekolymsk,48,RU,1561596455,28,67.46,153.71,71.18,18.75
198,San Patricio,0,PY,1561596534,74,-26.98,-56.83,43.82,4.99
199,Lavrentiya,100,RU,1561596517,97,65.58,-170.99,48.14,11.97
200,Klaksvik,24,FO,1561596320,100,62.23,-6.59,48.2,5.82
201,La Ronge,40,CA,1561596392,68,55.1,-105.3,64.4,4.7
202,Hirara,75,JP,1561596534,83,24.8,125.28,82.4,14.99
203,Tabuk,100,PH,1561596535,95,17.41,121.44,66.14,0.98
204,Hofn,79,IS,1561596319,85,64.25,-15.21,44.0,13.35
205,Chumikan,0,RU,1561596389,47,54.72,135.31,61.28,2.04
206,Caidian,79,CN,1561596535,83,30.59,114.03,82.4,6.71
207,Dicabisagan,84,PH,1561596535,81,17.08,122.42,80.72,2.35
208,Ancud,75,CL,1561596369,87,-41.87,-73.83,46.4,6.93
209,Alyangula,40,AU,1561596355,78,-13.85,136.42,75.2,6.93
210,Meulaboh,98,ID,1561596328,77,4.14,96.13,81.26,6.64
211,Sinnamary,58,GF,1561596369,83,5.38,-52.96,80.36,17.38
212,Katherine,55,AU,1561596537,35,-14.47,132.26,69.8,9.17
213,Port Alfred,83,ZA,1561596162,87,-33.59,26.89,57.99,1.01
214,Zhigansk,0,RU,1561596359,50,66.77,123.37,72.98,8.72
215,Manali,32,IN,1561596537,74,32.25,77.19,29.24,4.25
216,Kargasok,100,RU,1561596537,97,59.06,80.87,57.68,4.38
217,Marawi,100,PH,1561596342,81,8.0,124.29,81.0,5.01
218,Los Llanos de Aridane,20,ES,1561596538,68,28.66,-17.92,71.6,13.87
219,Manggar,55,ID,1561596538,88,-2.88,108.27,78.92,3.69
220,Thinadhoo,48,MV,1561596159,72,0.53,72.93,83.24,7.23
221,Broken Hill,0,AU,1561596441,51,-31.97,141.45,59.0,16.11
222,Margate,0,AU,1561596356,76,-43.03,147.26,54.0,14.99
223,Saldanha,0,PT,1561596397,69,41.42,-6.55,65.24,0.83
224,Kalmunai,100,LK,1561596539,76,7.42,81.82,75.68,2.8
225,Bethel,90,US,1561596366,72,60.79,-161.76,66.2,23.04
226,Alice Springs,0,AU,1561596137,37,-23.7,133.88,53.6,7.11
227,Marsh Harbour,0,BS,1561596540,75,26.54,-77.06,83.96,13.13
228,Jiazi,0,CN,1561596540,83,19.61,110.49,82.4,6.71
229,Tortoli,5,IT,1561596541,60,39.93,9.66,75.2,8.05
230,San Francisco,20,US,1561596359,82,37.78,-122.42,69.01,8.05
231,Tongren,93,CN,1561596541,83,27.72,109.18,73.7,1.32
232,Dovers,40,VC,1561596541,78,12.88,-61.18,82.4,12.75
233,Ibra,2,OM,1561596542,77,22.69,58.55,75.86,2.98
234,Tecpan,75,GT,1561596363,64,14.76,-90.99,73.4,16.11
235,Irece,0,BR,1561596542,63,-11.3,-41.86,66.86,10.96
236,Fairbanks,1,US,1561596465,17,64.84,-147.72,80.01,5.82
237,Barrow,100,AR,1561596318,33,-38.31,-60.23,51.74,20.24
238,Vieste,5,IT,1561596543,88,41.88,16.18,78.01,14.99
239,Tornio,90,FI,1561596543,87,61.12,27.27,55.4,3.36
240,Nome,1,US,1561596358,70,30.04,-94.42,86.0,3.36
241,Henties Bay,53,NA,1561596364,90,-22.12,14.28,55.99,5.99
242,Quang Ngai,100,VN,1561596544,74,15.12,108.8,80.0,2.73
243,Antalaha,45,MG,1561596544,95,-14.9,50.28,64.88,4.68
244,Huarmey,13,PE,1561596450,86,-10.07,-78.15,63.26,14.97
245,Haines Junction,98,CA,1561596333,56,60.75,-137.51,61.1,1.99
246,Ilulissat,0,GL,1561596331,75,69.22,-51.1,42.8,5.82
247,Bambous Virieux,75,MU,1561596446,94,-20.34,57.76,73.4,10.29
248,San Policarpo,97,PH,1561596545,80,12.18,125.51,80.72,3.6
249,Yanaul,0,RU,1561596545,93,56.27,54.93,45.44,2.59
250,Jesup,1,US,1561596545,51,31.61,-81.89,86.0,3.36
251,Myitkyina,100,MM,1561596325,98,25.38,97.4,71.9,1.41
252,Todos Santos,5,MX,1561596420,28,23.45,-110.23,95.0,18.34
253,Kafanchan,98,NG,1561596546,98,9.58,8.3,68.84,4.47
254,Bredasdorp,0,ZA,1561596316,93,-34.53,20.04,51.01,3.36
255,Souillac,0,FR,1561596370,69,45.6,-0.6,82.4,5.82
256,Hailey,40,US,1561596280,28,43.52,-114.32,73.4,5.82
257,Faanui,0,PF,1561596263,72,-16.48,-151.75,80.54,6.11
258,Abalak,70,NE,1561596547,43,15.46,6.28,90.08,11.21
259,Barmer,0,IN,1561596547,62,25.74,71.4,84.32,18.77
260,Sovetskiy,100,RU,1561596432,95,56.76,48.47,50.12,5.57
261,Amapa,40,HN,1561596548,83,15.09,-87.97,82.4,11.41
262,Soyo,2,AO,1561596475,78,-6.13,12.37,73.7,9.26
263,Barraute,75,CA,1561596446,60,48.43,-77.63,69.8,2.24
264,Alenquer,40,BR,1561596549,94,-1.95,-54.74,77.0,3.36
265,Jaipur,49,IN,1561596390,45,26.92,75.82,87.8,11.41
266,Tual,57,ID,1561596549,85,-5.67,132.75,78.56,21.54
267,Athabasca,100,CA,1561596549,80,54.72,-113.29,63.62,1.92
268,Mirpur Sakro,40,PK,1561596550,70,24.55,67.63,86.0,9.17
269,San Luis,34,AR,1561596550,24,-33.3,-66.34,49.76,20.24
270,Mutsu,75,JP,1561596551,77,41.29,141.2,73.4,8.05
271,Flinders,20,AU,1561596438,87,-34.58,150.85,61.0,4.7
272,Sitka,48,US,1561596551,51,37.17,-99.65,86.0,13.0
273,Makakilo City,75,US,1561596439,83,21.35,-158.09,80.6,9.17
274,Rocha,33,UY,1561596397,76,-34.48,-54.34,44.18,10.04
